ID,NAME,ICAO,Callsign,Country,Active
3,1Time Airline,RNX,NEXTIME,South Africa,Y
10,40-Mile Air,MLA,MILE-AIR,United States,Y
13,Ansett Australia,AAA,ANSETT,Australia,Y
21,Aigle Azur,AAF,AIGLE AZUR,France,Y
22,Aloha Airlines,AAH,ALOHA,United States,Y
24,American Airlines,AAL,AMERICAN,United States,Y
28,Asiana Airlines,AAR,ASIANA,Republic of Korea,Y
29,Askari Aviation,AAS,AL-AAS,Pakistan,Y
32,Afriqiyah Airways,AAW,AFRIQIYAH,Libya,Y
35,Allegiant Air,AAY,ALLEGIANT,United States,Y
42,ABSA - Aerolinhas Brasileiras,TUS,ABSA Cargo,Brazil,Y
55,Astral Aviation,ACP,ASTRAL CARGO,Kenya,Y
72,Ada Air,ADE,ADA AIR,Albania,Y
83,Adria Airways,ADR,ADRIA,Slovenia,Y
90,Air Europa,AEA,EUROPA,Spain,Y
93,Aero Benin,AEB,AEROBEN,Benin,Y
96,Aegean Airlines,AEE,AEGEAN,Greece,Y
106,Air Europe,AEL,AIR EUROPE,Italy,Y
109,Alaska Central Express,AER,ACE AIR,United States,Y
110,ACES Colombia,AES,ACES,Colombia,Y
112,Astraeus,AEU,FLYSTAR,United Kingdom,Y
114,Aerosvit Airlines,AEW,AEROSVIT,Ukraine,Y
116,Air Italy,AEY,AIR ITALY,Italy,Y
120,Alliance Airlines,UTY,UNITY,Australia,Y
125,Ariana Afghan Airlines,AFG,ARIANA,Afghanistan,Y
130,Aeroflot Russian Airlines,AFL,AEROFLOT,Russia,Y
132,Air Bosna,BON,AIR BOSNA,Bosnia and Herzegovina,Y
137,Air France,AFR,AIRFRANS,France,Y
139,Air Caledonie International,ACI,AIRCALIN,France,Y
149,Air Cargo Carriers,SNC,NIGHT CARGO,United States,Y
153,Air Namibia,NMB,NAMIBIA,Namibia,Y
165,Aerolitoral,SLI,COSTERA,Mexico,Y
174,Air Glaciers,AGV,AIR GLACIERS,Switzerland,Y
176,Aviogenex,AGX,GENEX,Serbia,Y
179,Aeroper,PLI,Aeroperu,Peru,Y
180,Atlas Blue,BMM,ATLAS BLUE,Morocco,Y
197,Azerbaijan Airlines,AHY,AZAL,Azerbaijan,Y
198,Avies,AIA,AVIES,Estonia,Y
208,Airblue,ABQ,PAKBLUE,Pakistan,Y
210,Airlift International,AIR,AIRLIFT,United States,Y
214,Air Berlin,BER,AIR BERLIN,Germany,Y
218,Air India Limited,AIC,AIRINDIA,India,Y
220,Air Bourbon,BUB,BOURBON,Reunion,Y
221,Air Atlanta Icelandic,ABD,ATLANTA,Iceland,Y
225,Air Tahiti Nui,THT,TAHITI AIRLINES,France,Y
231,Arkia Israel Airlines,AIZ,ARKIA,Israel,Y
239,Air Jamaica,AJM,JAMAICA,Jamaica,Y
240,Air One,ADH,HERON,Italy,Y
241,Air Sahara,RSH,SAHARA,India,Y
242,Air Malta,AMC,AIR MALTA,Malta,Y
250,Air Japan,AJX,AIR JAPAN,Japan,Y
252,Air Korea Co. Ltd.,AKA,,Republic of Korea,Y
263,Air Kiribati,AKL,,Kiribati,Y
281,America West Airlines,AWE,CACTUS,United States,Y
282,Air Wisconsin,AWI,AIR WISCONSIN,United States,Y
286,Tatarstan Airlines,TAK,TATARSTAN,Russia,Y
287,Allegheny Commuter Airlines,ALO,ALLEGHENY,United States,Y
295,Air Sunshine,RSI,AIR SUNSHINE,United States,Y
306,Air Malawi,AML,MALAWI,Malawi,Y
315,ATA Airlines,AMT,AMTRAN,United States,Y
316,Air Macau,AMU,AIR MACAO,Macao,Y
317,AMC Airlines,AMV,,Egypt,Y
319,Air Seychelles,SEY,SEYCHELLES,Seychelles,Y
321,AeroMéxico,AMX,AEROMEXICO,Mexico,Y
324,All Nippon Airways,ANA,ALL NIPPON,Japan,Y
327,Air Nostrum,ANE,AIR NOSTRUM,Spain,Y
328,Air Niugini,ANG,NUIGINI,Papua New Guinea,Y
329,Air Arabia,ABY,ARABIA,United Arab Emirates,Y
330,Air Canada,ACA,AIR CANADA,Canada,Y
333,Air Baltic,BTI,AIRBALTIC,Latvia,Y
336,Air Nippon,ANK,ANK AIR,Japan,Y
338,Airnorth,ANO,TOPEND,Australia,Y
341,Air North Charter - Canada,ANT,AIR NORTH,Canada,Y
345,Air New Zealand,ANZ,NEW ZEALAND,New Zealand,Y
371,Alitalia Express,SMX,ALIEXPRESS,Italy,Y
386,Aero Flight,ARF,Aero Fox,Germany,Y
397,Arrow Air,APW,BIG A,United States,Y
410,Aerocondor,ARD,AEROCONDOR,Portugal,Y
411,Aires,ARE, Aerovias de Integracion Regional, S.A.,Y
412,Aerolineas Argentinas,ARG,ARGENTINA,Argentina,Y
439,Alaska Airlines,ASA, Inc.,ALASKA,Y
442,Air Sinai,ASD,AIR SINAI,Egypt,Y
452,Atlantic Southeast Airlines,ASQ,ACEY,United States,Y
462,Astrakhan Airlines,ASZ,AIR ASTRAKHAN,Russia,Y
465,Air Tanzania,ATC,TANZANIA,Tanzania,Y
470,Air Burkina,VBW,BURKINA,Burkina Faso,Y
476,Airlines Of Tasmania,ATM,AIRTAS,Australia,Y
477,Air Saint Pierre,SPM,,France,Y
491,Austrian Airlines,AUA,AUSTRIAN,Austria,Y
492,Air Southwest,WOW,SWALLOW,United Kingdom,Y
493,Augsburg Airways,AUB,AUGSBURG-AIR,Germany,Y
497,ATUR,TUR,,Ecuador,Y
502,Abu Dhabi Amiri Flight,AUH,SULTAN,United Arab Emirates,Y
503,Aeroflot-Nord,AUL,DVINA,Russia,Y
508,Aurigny Air Services,AUR,AYLINE,United Kingdom,Y
510,Austral Lineas Aereas,AUT,AUSTRAL,Argentina,Y
515,Avianca - Aerovias Nacionales de Colombia,AVA, S.A.,AVIANCA,Y
524,Air Vanuatu,AVN,AIR VAN,Vanuatu,Y
543,Air Bangladesh,BGD,AIR BANGLA,Bangladesh,Y
547,Air Mediterranee,BIE,MEDITERRANEE,France,Y
551,Air Moorea,TAH,AIR MOOREA,France,Y
563,Aeroline GmbH,AWU,SYLT-AIR,Germany,Y
565,Air Wales,AWW,RED DRAGON,United Kingdom,Y
567,Air Caraïbes,FWI,FRENCH WEST,France,Y
569,Air India Express,AXB,EXPRESS INDIA,India,Y
575,Air Exel,AXL,EXEL COMMUTER,Netherlands,Y
576,AirAsia,AXM,ASIAN EXPRESS,Malaysia,Y
595,Atlant-Soyuz Airlines,AYZ,ATLANT-SOYUZ,Russia,Y
596,Alitalia,AZA,ALITALIA,Italy,Y
603,Amaszonas,AZN,,Bolivia,Y
608,Air Zimbabwe,AZW,AIR ZIMBABWE,Zimbabwe,Y
622,Aserca Airlines,OCA,AROSCA,Venezuela,Y
641,Rossiya-Russian Airlines,SDM,PULKOVO,Russia,Y
659,American Eagle Airlines,EGF,EAGLE FLIGHT,United States,Y
665,AD Aviation,VUE,FLIGHTVUE,United Kingdom,Y
682,Air Ivoire,VUN,AIRIVOIRE,Ivory Coast,Y
683,Air Botswana,BOT,BOTSWANA,Botswana,Y
690,Air Foyle,UPA,FOYLE,United Kingdom,Y
692,Air Tahiti,VTA,AIR TAHITI,French Polynesia,Y
695,Air VIA,VIM,,Bulgaria,Y
715,Africa West,WTA,WEST TOGO,Togo,Y
724,ATRAN Cargo Airlines,VAS,ATRAN,Russian Federation,Y
751,Air China,CCA,AIR CHINA,China,Y
753,Aero Condor Peru,CDP,CONDOR-PERU,Peru,Y
787,Air Chathams,CVA,CHATHAM,New Zealand,Y
788,Air Marshall Islands,CWM,AIR MARSHALLS,Marshall Islands,Y
792,Access Air,CYD,CYCLONE,United States,Y
794,Air Algerie,DAH,AIR ALGERIE,Algeria,Y
800,Adam Air,DHI,ADAM SKY,Indonesia,Y
807,Air Dolomiti,DLA,DOLOMOTI,Italy,Y
816,Aeroflot-Don,DNV,DONAVIA,Russia,Y
817,Air Madrid,DRD,ALADA AIR,Spain,Y
837,Aer Lingus,EIN,SHAMROCK,Ireland,Y
876,Air Finland,FIF,AIR FINLAND,Finland,Y
878,Airfix Aviation,FIX,AIRFIX,Finland,Y
879,Air Pacific,FJI,PACIFIC,Fiji,Y
881,Atlantic Airways,FLI,FAROELINE,Faroe Islands,Y
882,Air Florida,FLZ,AIR FLORIDA,United States,Y
896,Air Iceland,FXI,FAXI,Iceland,Y
897,Air Philippines,GAP,ORIENT PACIFIC,Philippines,Y
909,Air Guinee Express,GIP,FUTURE EXPRESS,Guinea,Y
921,Air Greenland,GRL,GREENLAND,Denmark,Y
928,Atlas Air,GTI,GIANT,United States,Y
931,Air Guyane,GUY,GREEN BIRD,French Guiana,Y
970,Air Bagan,JAB,AIR BAGAN,Myanmar,Y
983,Air Canada Jazz,JZA,JAZZ,Canada,Y
995,Atlasjet,KKK,ATLASJET,Turkey,Y
998,Air Koryo,KOR,AIR KORYO,Democratic People's Republic of Korea,Y
1006,Air Astana,KZR,ASTANALINE,Kazakhstan,Y
1008,Albanian Airlines,LBC,ALBANIAN,Albania,Y
1017,Air Alfa,LFA,,Turkey,Y
1034,Aerolane,LNE,LAN ECUADOR,Ecuador,Y
1048,Atlantis European Airways,LUR,,Armenia,Y
1052,Air Luxor,LXR,AIRLUXOR,Portugal,Y
1057,Air Mauritius,MAU,AIRMAURITIUS,Mauritius,Y
1066,Air Madagascar,MDG,AIR MADAGASCAR,Madagascar,Y
1073,Air Moldova,MLD,AIR MOLDOVA,Moldova,Y
1087,Air Plus Comet,MPD,RED COMET,Spain,Y
1116,Aero Contractors,NIG,AEROLINE,Nigeria,Y
1143,Aeropelican Air Services,PEL,PELICAN,Australia,Y
1188,Aer Arann,REA,AER ARANN,Ireland,Y
1191,Air Austral,REU,REUNION,France,Y
1200,Asian Spirit,RIT,ASIAN SPIRIT,Philippines,Y
1202,Air Afrique,RKA,AIRAFRIC,Ivory Coast,Y
1203,Airlinair,RLA,AIRLINAIR,France,Y
1206,Aero Lanka,RLN,AERO LANKA,Sri Lanka,Y
1213,Air Salone,RNE,AIR SALONE,Sierra Leone,Y
1216,Armavia,RNV,ARMAVIA,Armenia,Y
1224,AeroRep,RPB,AEROREPUBLICA,Colombia,Y
1230,Aero-Service,RSR,CONGOSERV,Republic of the Congo,Y
1231,Aerosur,RSU,AEROSUR,Bolivia,Y
1232,Aeronorte,RTE,LUZAVIA,Portugal,Y
1266,Avient Aviation,SMJ,AVAVIA,Zimbabwe,Y
1287,Aircompany Yakutia,SYL,AIR YAKUTIA,Russia,Y
1290,Aeromar,TAO,TRANS-AEROMAR,Mexico,Y
1299,Arkefly,TFL,ARKEFLY,Netherlands,Y
1308,Airlines PNG,TOK,BALUS,Papua New Guinea,Y
1316,AirTran Airways,TRS,CITRUS,United States,Y
1317,Air Transat,TSC,TRANSAT,Canada,Y
1322,Avialeasing Aviation Company,TWN,TWINARROW,Uzbekistan,Y
1326,Tyrolean Airways,TYR,TYROLEAN,Austria,Y
1338,Aerolineas Galapagos (Aerogal),GLG,AEROGAL,Ecuador,Y
1340,Alrosa Mirny Air Enterprise,DRU,MIRNY,Russia,Y
1355,British Airways,BAW,SPEEDBIRD,United Kingdom,Y
1359,Biman Bangladesh Airlines,BBC,BANGLADESH,Bangladesh,Y
1401,Belair Airlines,BHP,BELAIR,Switzerland,Y
1403,Bahamasair,BHS,BAHAMAS,Bahamas,Y
1411,British International Helicopters,BIH,BRINTEL,United Kingdom,Y
1420,BF-Lento OY,BKF,BAKERFLIGHT,Finland,Y
1422,Bangkok Airways,BKP,BANGKOK AIR,Thailand,Y
1427,Blue1,BLF,BLUEFIN,Finland,Y
1431,Baltic Airlines,BLL,BALTIC AIRLINES,Russia,Y
1434,Bearskin Lake Air Service,BLS,BEARSKIN,Canada,Y
1436,Bellview Airlines,BLV,BELLVIEW AIRLINES,Nigeria,Y
1437,bmi,BMA,MIDLAND,United Kingdom,Y
1441,bmibaby,BMI,BABY,United Kingdom,Y
1442,Bemidji Airlines,BMJ,BEMIDJI,United States,Y
1445,British Midland Regional,BMR,,United Kingdom,Y
1463,Blue Panorama Airlines,BPA,BLUE PANOROMA,Italy,Y
1466,Budapest Aircraft Services/Manx2,BPS,BASE,Hungary,Y
1472,Bering Air,BRG,BERING AIR,United States,Y
1476,Brazilian Air Force,BRS,BRAZILIAN AIR FORCE,Brazil,Y
1478,Belavia Belarusian Airlines,BRU,BELARUS AVIA,Belarus,Y
1500,Metro Batavia,BTV,BATAVIA,Indonesia,Y
1508,Berjaya Air,BVT,BERJAYA,Malaysia,Y
1510,Blue Wings,BWG,BLUE WINGS,Germany,Y
1523,Brit Air,BZH,BRITAIR,France,Y
1531,Brussels Airlines,DAT,BEE-LINE,Belgium,Y
1539,Binter Canarias,IBB,,Spain,Y
1542,Blue Air,JOR,BLUE TRANSPORT,Romania,Y
1543,British Mediterranean Airways,LAJ,BEE MED,United Kingdom,Y
1548,Bulgaria Air,LZB,FLYING BULGARIA,Bulgaria,Y
1550,Barents AirLink,NKF,NORDFLIGHT,Sweden,Y
1581,CAL Cargo Air Lines,ICL,CAL,Israel,Y
1607,Calima Aviacion,CLI,CALIMA,Spain,Y
1615,Canadian Airlines,CDN,CANADIAN,Canada,Y
1623,Canadian North,MPE,EMPRESS,Canada,Y
1629,Cape Air,KAP,CAIR,United States,Y
1663,Caribbean Airlines,BWA,CARIBBEAN AIRLINES,Trinidad and Tobago,Y
1669,Carpatair,KRP,CARPATAIR,Romania,Y
1675,Caspian Airlines,CPN,CASPIAN,Iran,Y
1680,Cathay Pacific,CPA,CATHAY,Hong Kong SAR of China,Y
1682,Cayman Airways,CAY,CAYMAN,Cayman Islands,Y
1683,Cebu Pacific,CEB,CEBU AIR,Philippines,Y
1700,Central Connect Airlines,CCG,,Czech Republic,Y
1708,Centralwings,CLW,CENTRALWINGS,Poland,Y
1737,Charter Air,CHW,CHARTER WIEN,Austria,Y
1739,Chautauqua Airlines,CHQ,CHAUTAUQUA,United States,Y
1756,China Airlines,CAL,DYNASTY,Taiwan,Y
1758,China Eastern Airlines,CES,CHINA EASTERN,China,Y
1767,China Southern Airlines,CSN,CHINA SOUTHERN,China,Y
1769,China United Airlines,CUA,LIANHANG,China,Y
1771,Yunnan Airlines,CYH,YUNNAN,China,Y
1781,Cimber Air,CIM,CIMBER,Denmark,Y
1784,Cirrus Airlines,RUS,CIRRUS AIR,Germany,Y
1789,City Airline,SDR,SWEDESTAR,Sweden,Y
1790,City Connexion Airlines,CIX,CONNEXION,Burundi,Y
1792,CityJet,BCY,CITY-IRELAND,Ireland,Y
1795,BA CityFlyer,CFE,FLYER,United Kingdom,Y
1808,Click Airways,CGK,CLICK AIR,Kyrgyzstan,Y
1821,Colgan Air,CJC,COLGAN,United States,Y
1828,Comair,COM,COMAIR,United States,Y
1829,Comair,CAW,COMMERCIAL,South Africa,Y
1843,CommutAir,UCA,COMMUTAIR,United States,Y
1844,Comores Airlines,CWK,CONTICOM,Comoros,Y
1860,Compass Airlines,CPZ,Compass Rose,United States,Y
1868,Condor Flugdienst,CFG,CONDOR,Germany,Y
1876,Consorcio Aviaxsa,CHP,AVIACSA,Mexico,Y
1879,Contact Air,KIS,CONTACTAIR,Germany,Y
1881,Continental Airlines,COA,CONTINENTAL,United States,Y
1884,Continental Micronesia,CMI,AIR MIKE,United States,Y
1886,Conviasa,VCV,CONVIASA,Venezuela,Y
1889,Copa Airlines,CMP,COPA,Panama,Y
1892,Copterline,AAQ,COPTERLINE,Finland,Y
1894,Corendon Airlines,CAI,CORENDON,Turkey,Y
1908,Corsairfly,CRL,CORSAIR,France,Y
1909,Corse-Mediterranee,CCM,CORSICA,France,Y
1923,Crest Aviation,CAN,CREST,United Kingdom,Y
1925,Croatia Airlines,CTN,CROATIA,Croatia,Y
1931,Crown Airways,CRO,CROWN AIRWAYS,United States,Y
1936,Cubana de Aviación,CUB,CUBANA,Cuba,Y
1942,Cyprus Airways,CYP,CYPRUS,Cyprus,Y
1946,Czech Airlines,CSA,CSA-LINES,Czech Republic,Y
1954,DAT Danish Air Transport,DTR,DANISH,Denmark,Y
1966,Daallo Airlines,DAO,DALO AIRLINES,Djibouti,Y
1973,Dalavia,KHB,DALAVIA,Russia,Y
1983,Darwin Airline,DWT,DARWIN,Switzerland,Y
2006,Delta Aerotaxi,DEA,JET SERVICE,Italy,Y
2009,Delta Air Lines,DAL,DELTA,United States,Y
2013,Denim Air,DNM,DENIM,Netherlands,Y
2041,Djibouti Airlines,DJB,DJIBOUTI AIR,Djibouti,Y
2042,Dniproavia,UDN,DNIEPRO,Ukraine,Y
2047,Dominicana de Aviaci,DOA,DOMINICANA,Dominican Republic,Y
2048,Domodedovo Airlines,DMO,DOMODEDOVO,Russia,Y
2051,DonbassAero,UDC,DONBASS AERO,Ukraine,Y
2056,Dragonair,HDA, Hong Kong Dragon Airlines,DRAGON,Y
2058,Druk Air,DRK,ROYAL BHUTAN,Bhutan,Y
2061,Dubrovnik Air,DBK,SEAGULL,Croatia,Y
2070,Dutch Antilles Express,DNL,DUTCH ANTILLES,Netherlands Antilles,Y
2077,dba,BAG,SPEEDWAY,Germany,Y
2091,EVA Air,EVA,EVA,Taiwan,Y
2104,East African,UGX,CRANE,Uganda,Y
2117,Eastern Airways,EZE,EASTFLIGHT,United Kingdom,Y
2125,Eastland Air,ELA,,Australia,Y
2137,Ecuavia,ECU,ECUAVIA,Ecuador,Y
2138,Edelweiss Air,EDW,EDELWEISS,Switzerland,Y
2143,Egyptair,MSR,EGYPTAIR,Egypt,Y
2150,El Al Israel Airlines,ELY,ELAL,Israel,Y
2155,El-Buraq Air Transport,BRQ,BURAQAIR,Libya,Y
2183,Emirates,UAE,EMIRATES,United Arab Emirates,Y
2193,Empresa Ecuatoriana De Aviacion,EEA,ECUATORIANA,Ecuador,Y
2213,Eritrean Airlines,ERT,ERITREAN,Eritrea,Y
2218,Estonian Air,ELL,ESTONIAN,Estonia,Y
2220,Ethiopian Airlines,ETH,ETHIOPIAN,Ethiopia,Y
2222,Etihad Airways,ETD,ETIHAD,United Arab Emirates,Y
2237,Eurocypria Airlines,ECA,EUROCYPRIA,Cyprus,Y
2239,Eurofly Service,EEU,EUROFLY,Italy,Y
2245,Eurolot,ELO,EUROLOT,Poland,Y
2251,European Air Express,EAL,STAR WING,Germany,Y
2260,Eurowings,EWG,EUROWINGS,Germany,Y
2261,Evergreen International Airlines,EIA,EVERGREEN,United States,Y
2264,Excel Airways,XLA,EXPO,United Kingdom,Y
2265,Excel Charter,XEL,HELI EXCEL,United Kingdom,Y
2293,Express One International,LHN,LONGHORN,United States,Y
2295,ExpressJet,BTA,JET LINK,United States,Y
2297,easyJet,EZY,EASY,United Kingdom,Y
2324,Far Eastern Air Transport,EFA,Far Eastern,Taiwan,Y
2350,Finnair,FIN,FINNAIR,Finland,Y
2351,Finncomm Airlines,WBA,WESTBIRD,Finland,Y
2353,Firefly,FFM,FIREFLY,Malaysia,Y
2354,First Air,FAB,,Canada,Y
2357,First Choice Airways,FCA,JETSET,United Kingdom,Y
2395,Flightline,FLT,FLIGHTLINE,United Kingdom,Y
2404,Florida West International Airways,FWL,FLO WEST,United States,Y
2417,AirAsia X,XAX,XANADU,Malaysia,Y
2418,FlyLal,LIL,LITHUANIA AIR,Lithuania,Y
2419,FlyNordic,NDC,NORDIC,Sweden,Y
2420,Flybaboo,BBO,BABOO,Switzerland,Y
2421,Flybe,BEE,JERSEY,United Kingdom,Y
2425,Flyglobespan,GSM,GLOBESPAN,United Kingdom,Y
2429,Flyhy Cargo Airlines,FYH,FLY HIGH,Thailand,Y
2439,Formosa Airlines,FOS,,Taiwan,Y
2454,Freedom Air,FRE,FREEDOM,United States,Y
2456,Freedom Airlines,FRL,FREEDOM AIR,United States,Y
2468,Frontier Airlines,FFT,FRONTIER FLIGHT,United States,Y
2470,Frontier Flying Service,FTA,FRONTIER-AIR,United States,Y
2486,GB Airways,GBL,GEEBEE AIRWAYS,United Kingdom,Y
2520,Garuda Indonesia,GIA,INDONESIA,Indonesia,Y
2524,Gazpromavia,GZP,GAZPROMAVIA,Russia,Y
2538,Georgian Airways,TGZ,TAMAZI,Georgia,Y
2541,Georgian National Airlines,GFG,NATIONAL,Georgia,Y
2547,Germania,GMI,GERMANIA,Germany,Y
2548,Germanwings,GWI,GERMAN WINGS,Germany,Y
2556,Ghana International Airlines,GHB,GHANA AIRLINES,Ghana,Y
2575,Go Air,GOW,GOAIR,India,Y
2577,GoJet Airlines,GJS,GATEWAY,United States,Y
2581,Gol Transportes Aéreos,GLO,GOL TRANSPORTE,Brazil,Y
2585,Golden Air,GAO,GOLDEN,Sweden,Y
2607,Great Lakes Airlines,GLA,LAKES AIR,United States,Y
2622,Grupo TACA,TAT,TACA-COSTARICA,Costa Rica,Y
2637,Gulf Air,GFA,GULF AIR,Oman,Y
2638,Gulf Air Bahrain,GBA,GULF BAHRAIN,Bahrain,Y
2645,Gulfstream International Airlines,GFT,GULF FLIGHT,United States,Y
2657,Hageland Aviation Services,HAG,HAGELAND,United States,Y
2660,Hainan Airlines,CHH,HAINAN,China,Y
2663,Haiti Ambassador Airlines,HAM,,Haiti,Y
2674,Hamburg International,HHI,HAMBURG JET,Germany,Y
2681,TUIfly,HLX,YELLOW CAB,Germany,Y
2682,Hapagfly,HLF,HAPAG LLOYD,Germany,Y
2688,Hawaiian Airlines,HAL,HAWAIIAN,United States,Y
2704,Heli France,HFR,HELIFRANCE,France,Y
2731,Helijet,JBA,HELIJET,Canada,Y
2747,Hellas Jet,HEJ,HELLAS JET,Greece,Y
2748,Hello,FHE,FLYHELLO,Switzerland,Y
2750,Helvetic Airways,OAW,HELVETIC,Switzerland,Y
2757,Hex'Air,HER,HEX AIRLINE,France,Y
